"filename", "language", "YAML", "Dart", "Markdown", "CMake", "C++", "Swift", "HTML", "JSON", "Properties", "XML", "comment", "blank", "total"
"c:\Users\Asus\Desktop\project_stage\app_client\test\widget_test.dart", "Dart", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, -10, -7, -31
"c:\Users\Asus\Desktop\project_stage\app_client\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, -15, -5, -39
"c:\Users\Asus\Desktop\project_stage\app_client\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, -1, -36
"c:\Users\Asus\Desktop\project_stage\app_client\windows\CMakeLists.txt", "CMake", 0, 0, 0, -89, 0, 0, 0, 0, 0, 0, 0, -20, -109
"c:\Users\Asus\Desktop\project_stage\app_client\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, -98, 0, 0, 0, 0, 0, 0, 0, -12, -110
"c:\Users\Asus\Desktop\project_stage\app_client\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -4, -5, -21
"c:\Users\Asus\Desktop\project_stage\app_client\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\Asus\Desktop\project_stage\app_client\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, -6, -27
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, -34, 0, 0, 0, 0, 0, 0, 0, -7, -41
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, -49, 0, 0, 0, 0, 0, -7, -16, -72
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, -5, -9, -34
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\main.cpp", "C++", 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, -4, -10, -44
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\resource.h", "C++", 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, -6, -2, -17
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, -54, 0, 0, 0, 0, 0, -2, -10, -66
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\utils.h", "C++", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, -6, -6, -20
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, -210, 0, 0, 0, 0, 0, -24, -55, -289
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, -48, 0, 0, 0, 0, 0, -31, -24, -103
"Total", "-", -32, -14, -13, -465, -553, -67, -19, -248, -8, -470, -247, -360, -2496
