"filename", "language", "Dart", "JSON", "YAML", "CMake", "Markdown", "HTML", "C++", "Swift", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Asus\Desktop\project_stage\app_client\lib\settings\feedback_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\Asus\Desktop\project_stage\app_client\lib\settings\settings_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\Asus\Desktop\project_stage\app_client\lib\widgets\category_filter.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\Asus\Desktop\project_stage\app_client\lib\widgets\food_card.dart", "Dart", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 114
"c:\Users\Asus\Desktop\project_stage\app_client\lib\widgets\rating_stars.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\Asus\Desktop\project_stage\app_client\lib\widgets\restaurant_card.dart", "Dart", 335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 366
"c:\Users\Asus\Desktop\project_stage\app_client\lib\widgets\search_bar.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"c:\Users\Asus\Desktop\project_stage\app_client\linux\CMakeLists.txt", "CMake", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Users\Asus\Desktop\project_stage\app_client\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\Asus\Desktop\project_stage\app_client\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 4, 5, 16
"c:\Users\Asus\Desktop\project_stage\app_client\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"c:\Users\Asus\Desktop\project_stage\app_client\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Asus\Desktop\project_stage\app_client\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Asus\Desktop\project_stage\app_client\linux\runner\main.cc", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\Asus\Desktop\project_stage\app_client\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 21, 27, 131
"c:\Users\Asus\Desktop\project_stage\app_client\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 5, 19
"c:\Users\Asus\Desktop\project_stage\app_client\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 4, 25
"c:\Users\Asus\Desktop\project_stage\app_client\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\Asus\Desktop\project_stage\app_client\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\Asus\Desktop\project_stage\app_client\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Asus\Desktop\project_stage\app_client\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Users\Asus\Desktop\project_stage\app_client\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Asus\Desktop\project_stage\app_client\pubspec.yaml", "YAML", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 9, 15, 53
"c:\Users\Asus\Desktop\project_stage\app_client\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Asus\Desktop\project_stage\app_client\web\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 15, 5, 39
"c:\Users\Asus\Desktop\project_stage\app_client\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Asus\Desktop\project_stage\app_client\windows\CMakeLists.txt", "CMake", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\Asus\Desktop\project_stage\app_client\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\Asus\Desktop\project_stage\app_client\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 5, 21
"c:\Users\Asus\Desktop\project_stage\app_client\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"c:\Users\Asus\Desktop\project_stage\app_client\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 7, 16, 72
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 9, 34
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 10, 44
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 2, 17
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 2, 10, 66
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 6, 6, 20
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 24, 55, 289
"c:\Users\Asus\Desktop\project_stage\app_client\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 31, 24, 103
"Total", "-", 4824, 248, 35, 465, 13, 19, 553, 67, 470, 8, 392, 869, 7963
